x,y,z,id,height
625591.43,6103300.24,840.04,1,25.5299902344
625413.94,6103139.81,844.58,2,27.7300244141
625383.47,6103351.47,848.38,3,28.7999829102
625168.7,6103290.2,829.52,4,28.7599902344
625405.75,6103138.51,844.9,5,28.2599853516
625328.28,6103176.67,843.47,6,25.5000292969
625345.27,6103154.84,843.76,7,24.26
625271,6103190.97,842.81,8,25.7100244141
625530.94,6103340.32,845.25,9,26.0399780273
625467.04,6103151.24,841.63,10,31.7999829102
625548.87,6103252.24,844.61,11,28.7899926758
625166.58,6103264.65,827.94,12,24.989987793
625408.66,6103316.49,845.1,13,24.1999755859
625215.61,6103296.72,833.82,14,27.6299975586
625508.85,6103319.78,845.16,15,23.3999902344
625466.19,6103233.44,844.31,16,26.8499780273
625504.69,6103281.93,845.58,17,24.5900097656
625504.5,6103207.09,840.78,18,31.0600292969
625506.55,6103175.12,837.85,19,31.3399902344
625453.34,6103176.58,842.76,20,29.7700097656
625263.86,6103187.97,842.51,21,25.6099755859
625518.99,6103191.7,840.01,22,34.8599755859
625497.45,6103255.95,845.79,23,28.4699926758
625254.87,6103250.89,839.15,24,28.8600219727
625217.63,6103383.17,834.73,25,25.1399731445
625392.3,6103262.38,846.84,26,26.1899755859
625181.88,6103374.97,834.86,27,26.8999780273
625364.29,6103371.86,841.04,28,23.1700048828
625133.74,6103299.04,821.71,29,24.9000024414
625232.67,6103391.65,835.68,30,25.7199780273
625247.98,6103220.77,840.07,31,26.520012207
625430.72,6103311.66,846.56,32,24.5200219727
625303.68,6103405.86,835.41,33,22.0899926758
625510.21,6103236.37,839.17,34,24.1499804688
625390.87,6103124.5,843.11,35,27.9400170898
625265.22,6103479.43,835.96,36,26.1500024414
625358.92,6103185.38,845.47,37,26.5799853516
625238.37,6103241.61,833.49,38,22.7099707031
625327.68,6103118.19,844.42,39,23.2000292969
625365.18,6103355.6,843.41,40,24.8000146484
625164.83,6103221.56,833.62,41,27.6500292969
625245.16,6103197.69,838.24,42,22.8200170898
625287.1,6103258.62,840.19,43,26.69
625338.71,6103248.6,839,44,22.6599731445
625535.96,6103299.93,843.64,45,23.7999731445
625468.39,6103337.01,845.05,46,23.8100097656
625315.83,6103175.68,844.42,47,26.8100146484
625230.5,6103300.51,832.65,48,25.1100219727
625300.74,6103498.62,833.17,49,21.1900195313
625299.44,6103278.12,840.73,50,26.73
625438.1,6103216.8,839.48,51,19.8899731445
625395.49,6103380.17,844.08,52,25.08
625386.83,6103183.66,842.31,53,23.0800195313
625448.48,6103075.29,839.65,54,29.9599975586
625283.32,6103189.15,843.58,55,26.4200268555
625408.32,6103338.05,848.38,56,27.3699902344
625323.18,6103486.09,840.46,57,27.1999902344
625162.88,6103361.72,831.89,58,24.9299780273
625131.9,6103312.14,827.85,59,29.800012207
625251.05,6103483.11,835.45,60,26.5400268555
625457.75,6103098.53,838.6,61,27.4800048828
625175.91,6103249.02,833.2,62,27.0300170898
625184.39,6103367.22,834.19,63,25.890012207
625268.05,6103323.23,838.27,64,24.4299731445
625358.66,6103473.53,839.09,65,23.8799780273
625283.02,6103223.92,839.27,66,25.069987793
625189.63,6103283.99,829.16,67,26.2799951172
625304.16,6103357.09,840.82,68,25.4799731445
625260.15,6103192.4,841.93,69,25.3300244141
625412.73,6103395.29,845.29,70,26.5999975586
625159.45,6103264.06,826.67,71,24.42
625294.52,6103257.15,839.3,72,25.2199829102
625526.44,6103213.42,841.35,73,29.4400268555
625112.73,6103302.18,816.25,74,20.450012207
625427.98,6103111.71,843.01,75,30.7999780273
625416.12,6103178.4,843.4,76,26.7200073242
625534.1,6103323.84,844.22,77,24.5600268555
625458.58,6103270.51,845.97,78,25.1499926758
625330.54,6103391.34,840.58,79,25.2399731445
625275.86,6103321.71,840.22,80,25.8199755859
625302.11,6103376.46,841.29,81,26.4800024414
625197.51,6103425,827.76,82,21.0800073242
625581.65,6103316.47,840.72,83,26.0600268555
625276.72,6103355.55,839.36,84,25.3299707031
625187.84,6103297.67,829.53,85,27.4700024414
625237.35,6103258.16,836.26,86,27.8799951172
625435.55,6103238.53,845.29,87,24.5799780273
625512.41,6103225.92,840.77,88,26.9499926758
625472.23,6103383.41,842.36,89,23.9500268555
625379.63,6103413.02,842.88,90,25.7800244141
625195.78,6103314.93,831.2,91,25.9100219727
625360.74,6103221.21,845.75,92,27.3300170898
625373.59,6103346.04,845.32,93,26.1299975586
625301.65,6103166.6,845.09,94,26.6600073242
625274.62,6103169.35,844.88,95,26.3400219727
625538.68,6103264.51,843.83,96,26.1199780273
625330.87,6103275.37,845.63,97,29.3699902344
625338.92,6103297.52,842.93,98,26.2899853516
625450.08,6103304.62,848.67,99,26.120012207
625521.96,6103285.53,847.57,100,27.07
625400.52,6103095.09,840.64,101,25.6199804688
625218.88,6103425.63,832.75,102,24.5100097656
625207.57,6103276.85,830.41,103,25.8000146484
625191.87,6103214.65,835.4,104,25.1800292969
625312.94,6103326.11,840.2,105,24.4199707031
625507.89,6103197.59,840.15,106,32.5599731445
625259.31,6103482.28,834.46,107,25.0500268555
625453.34,6103376.92,842,108,23.3099975586
625157.43,6103225.72,833.4,109,28.5400146484
625229.35,6103213.52,837.71,110,24.1000146484
625452.12,6103225.62,846.51,111,27.7000024414
625358.46,6103395,840.59,112,23.9599951172
625241.19,6103180.96,839.24,113,22.8200170898
625159.49,6103378.18,829.28,114,23.0099804688
625377.55,6103427.04,839.07,115,22.4500048828
625267.24,6103272.74,839.13,116,27.7200268555
625292.99,6103165.35,845.31,117,26.5399804688
625200.98,6103227.66,835.76,118,25.26
625477.41,6103381.9,842.85,119,24.3700195313
625455.08,6103336.41,847.39,120,25.9700170898
625321.42,6103366.37,842.53,121,26.230012207
625459.75,6103210.83,843.4,122,26.4700073242
625247.36,6103314.56,836.54,123,25.2099829102
625413.26,6103079.98,841.16,124,28.4200097656
625369.84,6103138.59,839.83,125,21.3699780273
625321.52,6103417.93,841.56,126,27.359987793
625282.34,6103217.99,839.61,127,24.7500146484
625380.74,6103275.2,843.71,128,23.8899926758
625310.67,6103162.03,843.29,129,24.6300268555
625160.61,6103305.83,826.09,130,26.7200048828
625239.05,6103301.79,839.5,131,31.1699829102
625523.77,6103299.53,844.5,132,23.4899902344
625392.4,6103386.16,842.53,133,23.829987793
625192.6,6103360.64,833.11,134,24.1400292969
625474.77,6103287.65,841.51,135,20.0699975586
625198.67,6103334,834.55,136,26.4599731445
625367.85,6103150.58,843.62,137,24.419987793
