x,y,z,id,height
459627.875000286,7185620.50000028,51.3800011098,1,27.3000011861
459403.968749788,7185554.99999984,45.4500008201,2,21.0700016594
459966.687500084,7185482.4999998,41.9700011259,3,20.6400012022
459683.343749455,7185565.49999992,48.9799994929,4,24.5699996455
460033.875000205,7185127.99999976,52.0699997342,5,21.5200004971
459577.874999783,7185249.00000014,62.369998968,6,28.069999731
460055.749999949,7185207.50000009,52.2400016401,7,23.8700008008
459441.781250216,7185462.50000018,53.2500000875,8,26.6900006215
459703.749999913,7185267.49999966,53.9399987119,9,22.7199993985
459693.749999558,7185615.99999995,49.4500007666,10,26.0600013769
459782.374999986,7185478.00000017,49.9500007599,11,26.0700015991
459416.781249964,7185424.49999992,52.2200011849,12,24.660001719
459782.06250057,7185448.00000003,53.2099991771,13,28.7099991771
459596.437499623,7185501.00000001,49.919998114,14,23.7999972748
459762.625000587,7185384.49999997,52.5999984472,15,26.0599975316
460204.218750256,7185312.99999978,49.6399993977,16,25.059999474
460187.593750095,7185160.49999985,52.3800010964,17,21.6800003334
459598.687499989,7185519.9999998,48.2999993293,19,22.6099987952
460129.750000541,7185414.5000001,45.430000365,20,23.729999602
460415.249999933,7185214.0000001,52.7900010045,21,25.0100003179
459551.906250327,7185626.50000003,49.319999771,22,25.4699993896
459454.250000019,7185486.0000003,35.3300017567,23,9.3600024433
459673.312499413,7185189.50000014,55.9900015898,24,21.2600020476
459690.437499655,7185164.00000034,57.9199982031,25,22.789997135
459485.718750369,7185457.99999985,49.7400016736,26,22.5400009106
459550.937499852,7185399.00000012,50.0900002162,27,20.8299999873
459709.156250474,7185413.50000026,48.8699989526,28,22.1599998681
459738.312499813,7185465.00000013,49.1300011399,29,24.1700020554
460081.156249948,7185204.00000029,51.4300002846,30,23.0200004372
460102.968750317,7185206.50000024,50.2400016669,31,22.0000018957
459969.374999886,7185133.49999994,52.0600014697,32,20.7000008594
460260.000000111,7185364.99999992,45.5099982595,34,22.9199981069
459882.312500347,7185516.5,47.4999999682,35,25.7399997393
460286.125000545,7185305.00000035,46.7099990679,36,21.4999999834
459438.750000041,7185489.50000009,49.7299994829,37,24.0200003984
