x,y,z,id,height
571107.849733887,6054842.46695361,554.5799833984,1,43.2697722168
571290.194733887,6054646.61995361,553.8942333984,2,36.5160595703
571338.180983887,6054697.23220361,558.0487333984,3,39.2270170898
571128.768983887,6054760.60395361,555.9419833984,4,38.0502597656
571139.301233887,6054782.28320361,559.4314833984,5,45.8612929688
571230.985483887,6054735.58895361,555.8612333984,6,41.7937285156
571437.103483887,6054657.28495361,559.1669833984,7,33.1992709961
571176.369983887,6054776.08070361,554.0304833984,8,40.7359887695
571286.355483887,6054722.24670361,560.0642333984,9,43.2427612305
571012.091483887,6054853.28370361,550.5374833984,10,40.0529863281
571137.935233887,6054730.91670361,558.3352333984,11,39.0707070313
571511.636733887,6054527.04520361,563.9757333984,12,36.3667246094
571023.749233887,6054901.70295361,550.5774833984,13,44.5067741699
571425.986733887,6054573.21020361,564.3874833984,14,42.8829667969
570976.150233887,6054836.04770361,554.4739833984,15,38.2443081055
571276.799983887,6054693.06770361,560.7897333984,16,44.7475581055
571108.014233887,6054900.51495361,555.0864833984,17,45.1547817383
571191.963233887,6054815.17595361,548.9422333984,18,34.113559082
571122.163483887,6054808.73745361,556.1029833984,19,42.7017993164
571498.305983887,6054563.63770361,567.1039833984,20,43.6282753906
571129.323233887,6054780.13220361,556.1054833984,21,40.8313134766
571126.445483887,6054770.49795361,556.6807333984,22,39.4455039063
571505.120233887,6054532.39845361,564.8437333984,23,37.4785600586
571428.321983887,6054608.81720361,556.7342333984,24,37.8580126953
571341.224233887,6054691.03745361,563.6237333984,25,45.1872099609
571151.609483887,6054698.96595361,557.3122333984,26,37.9857563477
571113.041233887,6054845.37220361,554.6407333984,27,43.6275192871
571364.662233887,6054689.99995361,561.5477333984,28,42.0985146484
571013.885983887,6054862.17670361,546.9849833984,29,38.0579814453
571134.492483887,6054779.22220361,559.0127333984,30,44.2432631836
571512.062483887,6054552.25670361,564.8057333984,31,39.7600180664
571340.917483887,6054647.56195361,556.9007333984,32,39.0247568359
571181.049733887,6054751.30120361,560.1197333984,33,46.9812446289
570972.796233887,6054840.38620361,551.2957333984,34,35.2700375977
571101.949983887,6054807.99870361,556.3289833984,35,41.0294838867
571263.818233887,6054683.99045361,556.8317333984,36,42.0402294922
571050.161483887,6054899.79495361,544.5742333984,37,37.2457421875
571022.393233887,6054904.67270361,549.0922333984,38,44.0925385742
571133.334233887,6054737.71595361,556.9707333984,39,37.6495053711
571123.391983887,6054723.86720361,554.9327333984,40,33.0670107422
571527.842483887,6054583.59970361,563.9669833984,41,42.5662875977
571524.798483887,6054606.64545361,565.8954833984,42,44.4194702148
571047.178733887,6054916.42270361,544.6044833984,43,34.6152866211
571334.448483887,6054629.02095361,563.8549833984,44,45.6015043945
570999.661233887,6054869.85770361,547.6709833984,45,39.6917963867
571206.040733887,6054804.48945361,550.2227333984,46,33.8310097656
571264.037233887,6054644.40970361,544.1232333984,47,23.7490268555
571319.743733887,6054669.32045361,559.5047333984,48,44.7075532227
571530.201483887,6054639.78095361,558.6134833984,49,34.8517646484
571097.069483887,6054905.48045361,552.7452333984,50,43.5842226563
571044.829233887,6054890.91195361,547.0944833984,51,40.0302744141
571156.133233887,6054772.56420361,557.5064833984,52,46.8979934082
571329.497483887,6054616.17920361,556.9627333984,53,37.77975
571363.677983887,6054590.98445361,560.3584833984,54,38.9604731445
571104.478483887,6054806.25220361,556.2792333984,55,40.8137182617
571049.150233887,6054906.70545361,539.0009833984,56,30.3542854004
571362.337483887,6054635.32420361,564.1207333984,57,45.2280332031
571092.106233887,6054770.36145361,555.1874833984,58,34.8282915039
571228.187483887,6054681.29845361,556.5937333984,59,38.4555498047
571480.120733887,6054553.28920361,566.0887333984,60,42.5935551758
571158.056233887,6054848.18870361,557.8649833984,61,45.5032890625
571108.927483887,6054859.76345361,553.9382333984,62,43.0077219238
571108.817733887,6054881.04545361,554.9864833984,63,46.7257717285
571259.809233887,6054627.60120361,545.8094833984,64,23.3613022461
571246.869983887,6054680.54420361,557.3027333984,65,40.2895498047
571458.481983887,6054557.41945361,562.4522333984,66,39.2540522461
571081.277983887,6054897.78270361,544.9652333984,67,38.8872304688
571264.525233887,6054653.85720361,548.9222333984,68,30.5102460938
571092.827983887,6054809.43245361,555.4449833984,69,39.1192998047
571132.942483887,6054847.04695361,553.3414833984,70,46.0369790039
571462.573983887,6054551.84770361,562.8172333984,71,38.8490327148
571148.635983887,6054713.63695361,555.2029833984,72,36.4189868164
571089.889483887,6054853.48395361,558.1984833984,73,46.9947785645
571301.885733887,6054633.10395361,557.2584833984,74,38.585265625
571196.705733887,6054673.29245361,559.5172333984,75,39.8730073242
571211.788983887,6054778.76945361,556.1202333984,76,42.1140078125
571073.228233887,6054811.69845361,553.7522333984,77,37.0495356445
571122.882233887,6054861.43345361,553.9659833984,78,46.0359907227
571073.226733887,6054918.08320361,541.9834833984,79,31.5004816895
571294.534733887,6054670.47795361,555.3994833984,80,38.9982993164
571244.941233887,6054726.28345361,559.3322333984,81,44.5850410156
571233.002983887,6054696.70220361,559.6072333984,82,43.6182197266
571104.359483887,6054781.53645361,553.8157333984,83,35.341734375
571241.457983887,6054703.44520361,559.7539833984,84,44.1642617188
571279.236233887,6054637.11795361,548.6444833984,85,28.646253418
571170.313233887,6054829.87570361,552.8869833984,86,40.0779624023
571097.923733887,6054910.08345361,552.2602333984,87,42.1517434082
571200.025983887,6054810.58870361,552.9059833984,88,36.7577900391
571355.997733887,6054671.04445361,564.1832333984,89,46.6600400391
571199.649483887,6054761.14795361,556.9892333984,90,46.127722168
571365.073483887,6054681.26070361,562.4799833984,91,43.6449614258
571418.465733887,6054654.01870361,563.9827333984,92,44.28021875
571272.277983887,6054651.65245361,546.3702333984,93,28.2370546875
571288.141983887,6054628.18420361,557.5014833984,94,37.6227602539
571133.034233887,6054814.35670361,553.8522333984,95,41.741515625
571344.953483887,6054671.85345361,554.1019833984,96,36.9929746094
571199.587233887,6054801.34345361,556.4519833984,97,42.6598081055
571172.880733887,6054759.78995361,556.6489833984,98,43.1223110352
571257.889733887,6054730.36645361,555.0304833984,99,43.2569848633
571077.275233887,6054859.95470361,551.9792333984,100,40.7872473145
571417.657483887,6054652.60245361,562.5159833984,101,43.8514936523
571122.930733887,6054747.71845361,557.1452333984,102,36.9225161133
571520.284733887,6054562.72145361,564.7962333984,103,40.7067558594
571082.919983887,6054766.27820361,557.4222333984,104,36.7062299805
571103.183483887,6054776.88420361,558.0162333984,105,39.0142192383
571435.503483887,6054638.40070361,567.3164833984,106,44.3758095703
571455.185233887,6054541.99345361,562.0874833984,107,37.1623125
571307.709233887,6054700.19870361,552.5009833984,108,35.4884711914
571159.559733887,6054824.54745361,554.5407333984,109,45.6665268555
571167.277483887,6054755.55895361,558.7607333984,110,46.3630283203
571104.752233887,6054848.91045361,553.4087333984,111,42.2547416992
571173.305483887,6054727.60395361,557.0954833984,112,44.6579833984
571219.316483887,6054737.38095361,553.5967333984,113,39.5482104492
571151.926983887,6054837.98395361,554.6092333984,114,45.9995227051
570986.389233887,6054851.85920361,549.6924833984,115,37.0522856445
571302.335233887,6054678.43120361,553.0349833984,116,36.4882915039
571145.542233887,6054838.59920361,557.5759833984,117,49.1124824219
571354.627733887,6054701.77570361,545.4094833984,118,25.3959946289
570996.833233887,6054889.28695361,550.1337333984,119,43.2867485352
571042.542983887,6054868.46320361,552.2857333984,120,42.4117404785
571470.910983887,6054567.58995361,567.1674833984,121,44.6167631836
571432.907733887,6054625.66970361,565.2397333984,122,44.9405390625
571190.775233887,6054797.72845361,559.5827333984,123,47.1200258789
571178.859983887,6054819.20595361,556.1992333984,124,43.0722192383
571370.887483887,6054619.43145361,560.4977333984,125,40.8912270508
570987.310733887,6054832.81520361,552.4392333984,126,36.9335571289
571470.198983887,6054566.91845361,566.8724833984,127,44.3217631836
571421.199233887,6054558.96720361,559.8184833984,128,37.8504658203
571298.628233887,6054690.55495361,553.7827333984,129,37.1147036133
571387.376233887,6054619.45945361,558.6737333984,130,38.9897124023
570979.020483887,6054867.79945361,548.4914833984,131,37.9269692383
571048.987483887,6054820.07120361,553.4454833984,132,38.4449951172
571085.925483887,6054861.32695361,554.4639833984,133,43.3794802246
571263.548483887,6054744.24120361,555.7034833984,134,39.3195112305
571412.574983887,6054601.49120361,561.4349833984,135,42.2747661133
571136.330733887,6054821.41970361,553.9992333984,136,43.388729248
571029.801483887,6054909.45795361,550.7482333984,137,43.2422214355
571106.666983887,6054737.00970361,558.6099833984,138,35.8067607422
571484.127983887,6054579.27670361,569.2544833984,139,45.9119541016
571122.953733887,6054847.37870361,553.8752333984,140,43.8730361328
571275.400483887,6054737.66245361,559.0844833984,141,41.1607773438
571175.927233887,6054837.77370361,549.8604833984,142,34.3830053711
571110.939233887,6054814.48870361,552.8137333984,143,39.3870366211
571296.479233887,6054616.87345361,557.5419833984,144,37.1807773438
571519.050983887,6054528.55070361,561.4742333984,145,33.9935205078
571095.277483887,6054916.36895361,545.3122333984,146,34.5397419434
571351.148483887,6054649.93370361,561.5259833984,147,43.9927802734
